;score;day;origin;time;np;duration;device;osys;browser;nbsessions;location
0;142;3;google;14;-1;280;Mobile;iOS;Mobile Safari;1;Vincennes
1;0;0;website;7;-1;359;Desktop;Windows;Chrome;1;None
2;0;0;website;8;-1;239;Desktop;Windows;Chrome;1;None
3;0;1;website;4;-1;278;Desktop;Windows;Chrome;1;None
4;85;3;website;6;5;4015;Desktop;Windows;Chrome;2;Rue de Provence
5;220;3;website;7;-1;245;Desktop;Mac OS X;Safari;1;La Défense
6;189;3;website;8;-1;517;Desktop;Mac OS X;Safari;1;Rue Du Depart
7;75;3;facebook;9;-1;220;Desktop;Windows;Chrome;1;Val-d'Oise
8;152;3;google;9;-1;347;Mobile;iOS;Mobile Safari;1;Paris - Est
9;115;3;live;9;-1;194;Desktop;Windows;Chrome;1;Paris - Est
10;182;3;website;9;-1;181;Mobile;iOS;Mobile Safari;1;Claye Souilly
11;85;2;website;13;-1;72177;Desktop;Windows;Firefox;2;Serris/Disney
12;115;3;live;9;-1;458;Desktop;Windows;Chrome;1;Louvre
13;100;3;facebook;9;-1;485;Desktop;Windows;Chrome;1;Claye Souilly
14;164;3;website;9;-1;179;Mobile;iOS;Mobile Safari;1;Rue de Provence
15;121;3;website;9;-1;516;Desktop;Windows;Chrome;1;Passy
16;184;3;website;10;-1;532;Desktop;Windows;Chrome;1;Serris/Disney
17;180;3;facebook;11;-1;825;Desktop;Windows;Chrome;1;La Défense
18;199;3;website;11;-1;338;Desktop;Mac OS X;Safari;1;Rue Du Depart
19;119;3;facebook;11;-1;911;Desktop;Windows;Chrome;2;La Défense
20;136;3;facebook;11;5;725;Mobile;Android;Facebook;1;Val-d'Oise
21;82;3;website;11;-1;424;Mobile;Android;Facebook;1;Passy
22;0;3;facebook;11;-1;195;Mobile;Android;Facebook;1;None
23;99;3;facebook;11;-1;280;Mobile;Android;Facebook;1;Paris - Est
24;92;3;facebook;12;-1;965;Mobile;iOS;Facebook;1;Val-d'Oise
25;123;3;facebook;12;-1;617;Mobile;iOS;Facebook;1;Paris - Est
26;152;3;website;12;4;318;Mobile;iOS;Mobile Safari;1;Montparnasse
27;169;3;website;12;-1;385;Mobile;Android;Samsung Internet;1;Montparnasse
28;137;3;facebook;12;5;551;Mobile;Android;Facebook;1;Paris - Est
29;187;3;facebook;12;-1;187;Mobile;iOS;Facebook;1;Val-d'Oise
30;146;3;website;12;-1;476;Mobile;iOS;Mobile Safari;1;Commerce
31;142;3;google;12;-1;508;Mobile;iOS;Mobile Safari;1;La Défense
32;74;3;website;13;-1;861;Desktop;Windows;Chrome;1;La Défense
33;98;3;letudiant;13;-1;547;Desktop;Windows;Firefox;1;Rue de Provence
34;0;3;website;8;-1;320;Desktop;Windows;Firefox;1;None
35;0;4;website;23;-1;462;Desktop;Windows;Chrome;1;None
36;200;2;website;14;-1;274;Mobile;Android;Samsung Internet;1;Vincennes
37;219;2;Indeed;14;4;448;Desktop;Windows;Chrome;1;La Défense
38;0;2;facebook;15;-1;296;Mobile;Android;Chrome Mobile;1;None
39;149;2;letudiant;15;-1;718;Desktop;Windows;Chrome;1;Passy
40;120;2;letudiant;15;-1;711;Mobile;Android;Chrome Mobile;1;Avenue De Choisy
41;169;2;website;15;-1;250;Desktop;Windows;Chrome;1;Commerce
42;97;2;facebook;15;-1;260;Mobile;iOS;Facebook;1;Convention
43;101;2;facebook;15;5;1056;Desktop;Mac OS X;Safari;1;Paris - Est
44;119;2;facebook;15;4;421;Mobile;Android;Facebook;1;Montparnasse
45;144;2;website;15;5;1125;Mobile;Android;Chrome Mobile;1;Montparnasse
46;157;2;website;16;-1;367;Desktop;Windows;Firefox;1;Vincennes
47;116;2;android;16;-1;739;Mobile;Android;Chrome Mobile;1;Champs Élysées Avenue
48;193;2;google;16;-1;541;Mobile;iOS;Mobile Safari;1;La Défense
49;0;2;facebook;16;-1;177;Mobile;iOS;Facebook;1;None
50;61;2;website;16;-1;420;Desktop;Other;Other;1;Val-d'Oise
51;105;2;letudiant;16;-1;726;Mobile;iOS;Mobile Safari;1;Rueil-Malmaison
52;205;2;website;17;-1;419;Desktop;Mac OS X;Firefox;1;Austerlitz
53;119;2;facebook;17;5;566;Mobile;Android;Facebook;1;Montparnasse
54;159;2;website;17;-1;217;Desktop;Mac OS X;Safari;1;Val-d'Oise
55;145;2;website;17;-1;421;Mobile;Android;Chrome Mobile;1;Serris/Disney
56;122;2;website;17;-1;170;Desktop;Mac OS X;Chrome;1;Wagram
57;169;2;google;17;-1;282;Desktop;Windows;Chrome;1;Victor Hugo
58;148;2;website;17;1;425;Mobile;Android;Facebook;1;Val-d'Oise
59;77;2;website;18;5;737;Desktop;Mac OS X;Chrome;1;La Défense
60;57;2;website;18;-1;214;Mobile;Android;Chrome Mobile;1;Lyon intramuros
61;118;2;facebook;18;-1;287;Mobile;Android;Facebook;1;Paris - Est
62;84;2;website;18;-1;352;Desktop;Windows;Firefox;1;Paris - Est
63;72;2;website;18;-1;329;Tablet;Android;Facebook;1;Bussy-Saint-Georges
64;80;2;website;19;-1;209;Mobile;iOS;Mobile Safari;1;Val-d'Oise
65;139;2;google;19;-1;466;Mobile;iOS;Mobile Safari;1;Rue de Provence
66;157;2;facebook;19;-1;337;Mobile;iOS;Facebook;1;Paris - Est
67;96;2;website;19;-1;191;Mobile;Android;Chrome Mobile;1;Tassin
68;0;2;website;19;-1;172;Mobile;iOS;Mobile Safari;1;None
69;201;2;website;20;-1;501;Desktop;Windows;Chrome;1;La Défense
70;170;2;facebook;20;-1;516;Mobile;iOS;Facebook;1;Lyon intramuros
71;105;2;letudiant;20;-1;258;Mobile;iOS;Mobile Safari;1;Paris - Est
72;114;2;facebook;21;-1;247;Mobile;Android;Facebook;1;Serris/Disney
73;140;2;google;21;4;316;Desktop;Windows;Chrome;1;Civrieux-d'Azergues
74;140;2;website;21;-1;631;Mobile;iOS;Mobile Safari;1;Paris - Est
75;114;2;facebook;21;-1;351;Mobile;iOS;Facebook;1;Vincennes
76;115;2;facebook;22;-1;196;Mobile;iOS;Facebook;1;Beaugrenelle
77;185;2;live;22;-1;40064;Mobile;iOS;Facebook;2;Paris - Est
78;100;2;facebook;22;-1;191;Mobile;iOS;Facebook;1;Paris - Est
79;133;2;facebook;22;4;226;Mobile;Android;Facebook;1;Chelles
80;125;2;facebook;22;-1;258;Mobile;iOS;Facebook;1;Passy
81;137;2;website;22;-1;330;Desktop;Windows;Chrome;1;Louvre
82;0;2;website;23;-1;117;Desktop;Windows;Chrome;1;None
83;132;2;facebook;23;-1;1199;Mobile;iOS;Facebook;1;Paris - Est
84;81;2;facebook;23;-1;209;Mobile;iOS;Facebook;1;Paris - Est
85;119;3;website;2;-1;372;Mobile;iOS;Mobile Safari;1;Val-d'Oise
86;0;1;website;19;-1;290;Desktop;Windows;Chrome;1;None
87;120;6;facebook;15;-1;221;Mobile;Android;Facebook;1;La Défense
88;65;6;website;15;5;402;Mobile;Android;Chrome Mobile;1;Champs-sur-Marne
89;106;6;google;16;5;510;Desktop;Windows;Chrome;1;Tassin
90;133;6;google;15;-1;1140;Desktop;Windows;Chrome;1;Champs Élysées Avenue
91;142;6;google;16;-1;198;Desktop;Windows;Chrome;1;Champs Élysées Galerie
92;128;6;google;16;-1;229;Desktop;Windows;Chrome;1;Paris - Est
93;133;6;google;16;-1;190;Desktop;Windows;Chrome;1;La Défense
94;133;6;google;16;-1;235;Desktop;Windows;Chrome;1;Val-d'Oise
95;140;6;facebook;16;3;290;Mobile;Android;Facebook;1;Commerce
96;0;6;website;16;-1;256;Mobile;Android;Chrome Mobile;1;None
97;137;6;website;17;-1;429;Desktop;Windows;Chrome;1;Rue de Provence
98;107;6;website;17;-1;767;Mobile;Android;Samsung Internet;1;Convention
99;147;6;website;17;4;512;Mobile;Android;Chrome Mobile;1;Vincennes
100;80;6;android;12;-1;16731;Desktop;Windows;Chrome;2;Serris/Disney
101;240;6;website;17;-1;5542;Desktop;Windows;Chrome;3;Paris - Est
102;199;6;google;18;-1;337;Desktop;Windows;Chrome;1;Champs-sur-Marne
103;121;6;google;18;-1;271;Mobile;Android;Chrome Mobile;1;Rue de Provence
104;82;6;website;18;-1;193;Mobile;iOS;Mobile Safari;1;Tassin
105;0;5;website;5;-1;49298;Mobile;iOS;Mobile Safari;2;None
106;98;6;facebook;18;-1;360;Mobile;iOS;Facebook;1;Claye Souilly
107;55;6;website;19;-1;456;Desktop;Windows;Firefox;1;Commerce
108;180;6;live;16;-1;11250;Mobile;iOS;Mobile Safari;2;La Défense
109;0;6;facebook;20;-1;344;Mobile;iOS;Facebook;1;None
110;112;6;facebook;20;-1;341;Mobile;Android;Facebook;1;Champs Élysées Avenue
111;142;6;facebook;20;-1;253;Mobile;Android;Facebook;1;Convention
112;155;6;google;20;-1;289;Desktop;Windows;Chrome;1;Civrieux-d'Azergues
113;120;6;website;20;-1;366;Desktop;Windows;Opera;1;Val-d'Oise
114;81;6;facebook;21;-1;233;Mobile;iOS;Facebook;1;Chelles
115;169;6;facebook;21;-1;761;Desktop;Windows;Chrome;1;Serris/Disney
